UniqueName,Sensor_Gruppe,Sensor,SensorId,Station_Name
Pumpe 7 Umrechnungsfaktor Volumen,Pumpe 7,Umrechnungsfaktor Volumen,"b'\x95\x82\xbe\xa4\xa7`\x07D\xb4\xc0\xa0\xee(\n""\x94'",ABE1
Pumpe 7 Dichte,Pumpe 7,Dichte,b'\xbb\\\xfe\xc6\xb0\xbb\xe8E\x9d\x94U\xcdbs\x96%',ABE1
Pumpe 7 Füllgewicht,Pumpe 7,Füllgewicht,"b'm,\x81#\xf3p\xdbG\xa2\xe4\xc5\x0c_C\xfc\xb0'",ABE1
Pumpe 7 Füllvolumen,Pumpe 7,Füllvolumen,b'\xb4d\x06)5&\xdeF\x8fu\xbd\x8bw\xfc\xcf\xb0',ABE2
Pumpe 7 Füllzeit,Pumpe 7,Füllzeit,"b'\xf2\xd1\x05q7X\x0bK\x8d\xaeh\xd0""\xab\xfa+'",ABE2
Pumpe 7 Durchflusszähler,Pumpe 7,Durchflusszähler,b'\x0b\x0c\x81\xc2\xaf\xe0uO\xb0\x1da\xa4\xdd\xbc\xa9Q',ABE2
Pumpe 7 Drehzahl,Pumpe 7,Drehzahl,b'\x1b#\xf9\x11\x84H\tF\x92\xc5\xed\x1f\xb6Q\xc4\xaf',ABE2
Pumpe 7 Umrechnungsfaktor Volumen,Pumpe 7,Umrechnungsfaktor Volumen,b'V\x9ewO\x0e\xd6\x16D\xa9U\xdf\x07\x83\x93\x83X',ABE2
Pumpe 7 Dichte,Pumpe 7,Dichte,"b'$@bKiL\x9fM\xa1\x02i\xec,\xd1\xc8U'",ABE2
Pumpe 7 Füllgewicht,Pumpe 7,Füllgewicht,b'\x1a\xc9\xb6\xff\x18\xbeKF\x8bgHq\x951\x17\xf0',ABE2
Pumpe 1 Füllvolumen,Pumpe 1,Füllvolumen,"b'\x11\x86w\xdb""\x0e\x88D\xa5Tjx?\x9fd\x14'",ABE1
Pumpe 1 Füllzeit,Pumpe 1,Füllzeit,b'\xcdp\xab\x1c\xb6\x11\xf7@\xb4\xbd\xf3\x10_\xe4]\xc2',ABE1
Pumpe 1 Durchflusszähler,Pumpe 1,Durchflusszähler,b'd\xb1n\xbc\xd3\xc1*I\xb2\x08\xec2K\xb3j\xaa',ABE1
Pumpe 1 Drehzahl,Pumpe 1,Drehzahl,b'jL\xf6\xb8\xcd\xa2\x1dI\x93:\xe9\xcf\xd8\xae\x80v',ABE1
Pumpe 1 Umrechnungsfaktor Volumen,Pumpe 1,Umrechnungsfaktor Volumen,b'9b\xac+\xb4s\x95K\x8eh\r\x14\x9c\xf7W\r',ABE1
Pumpe 1 Dichte,Pumpe 1,Dichte,"b'H\xdc\xdaA\xe2\xa7YF\x91E\x85\xa4,\x97\xec\xab'",ABE1
Pumpe 1 Füllgewicht,Pumpe 1,Füllgewicht,b'2t\t\x84\xee*\xccI\x95I2j\x87\x8f4\x92',ABE1
Pumpe 1 Füllvolumen,Pumpe 1,Füllvolumen,b'\xdaU8*W\xcb\xacJ\x9e\xdf\x83X\x95H\x91/',ABE2
Pumpe 1 Füllzeit,Pumpe 1,Füllzeit,b'`\x80\xa6\xa15\xa2\x08M\xa9\x15\xb9\x00\xa4P\x07u',ABE2
Pumpe 1 Durchflusszähler,Pumpe 1,Durchflusszähler,b'SC\xb5\xb2C\xe3XO\xb0[?\x1c\xb3\\r\x17',ABE2
Pumpe 1 Drehzahl,Pumpe 1,Drehzahl,b'\xc1\xb7U\xf9\xdfN\xecH\xa9x+^\xc0CA\xd5',ABE2
Pumpe 1 Umrechnungsfaktor Volumen,Pumpe 1,Umrechnungsfaktor Volumen,b'[\x00ugb#\x00A\x86\x06\xc1\xed\x84\xf0\x17\x1d',ABE2
Pumpe 1 Dichte,Pumpe 1,Dichte,b'S\xe9\xd6;\x0c\xb4iB\x87\x8a\x13\x85\xb0\xcd\x81\x95',ABE2
Pumpe 1 Füllgewicht,Pumpe 1,Füllgewicht,b'\xbdQ\xbd\xb2\xea\xae\xb7K\xba\xb8A\x8a\xc9n\xb3\xdb',ABE2
Pumpe 8 Füllvolumen,Pumpe 8,Füllvolumen,b'\xce\x12!\x80\x1eE\xd4A\x83xMl\xc86\x05\xf5',ABE2
Pumpe 8 Füllzeit,Pumpe 8,Füllzeit,"b'\x1c=l\\\x94\xf3,H\xb8\x88c\xf6\x06\xab\xc1\x19'",ABE2
Pumpe 8 Durchflusszähler,Pumpe 8,Durchflusszähler,b'\x95\xd4\xc9\xf4\x97\x05\xb6A\x92m`g\x1f\x1d;\xb2',ABE2
Pumpe 8 Drehzahl,Pumpe 8,Drehzahl,b'h\x8f\xcb\xc4o\x9f\xd0J\x9at\xb7I\xd6^\t\x83',ABE2
Pumpe 8 Umrechnungsfaktor Volumen,Pumpe 8,Umrechnungsfaktor Volumen,b'?\x82\xe3$8L\xbdK\xb8\x11\x1a\x15&]\xec\xa5',ABE2
Pumpe 8 Dichte,Pumpe 8,Dichte,b'j\x11d\x13\xf5(\xbcO\x95#3\x81\x13\\\x02\xff',ABE2
Pumpe 8 Füllgewicht,Pumpe 8,Füllgewicht,b']F\xbc\xa3^E\xd1K\x9fOF84\x0c\xb98',ABE2
Pumpe 8 Füllvolumen,Pumpe 8,Füllvolumen,b'\x89\x8fpu\x15a\x9fI\x84\x11\xb9\xe5\xedR\xcb\x9d',ABE1
Pumpe 8 Füllzeit,Pumpe 8,Füllzeit,b'\xb1uW\x86\xb3\xaa\xcfK\xad\xa8]TV\xd7[\xa7',ABE1
Pumpe 8 Durchflusszähler,Pumpe 8,Durchflusszähler,b'^y\xe1\x93#\xe1\x10M\xb7\x04\x85\xf4\x82#c\xc3',ABE1
Pumpe 8 Drehzahl,Pumpe 8,Drehzahl,b'\x0fO\x9a\x8d=(\x0fO\x9f\xb2-*u\x0f\xff\xc7',ABE1
Pumpe 8 Umrechnungsfaktor Volumen,Pumpe 8,Umrechnungsfaktor Volumen,b'\x894%i\xc8_QG\xafH\xa4r<\xdbX2',ABE1
Pumpe 8 Dichte,Pumpe 8,Dichte,b'\xc0\xef{\x05O\xa3\x94J\x96\xaf\xe3\xe4\xe6\xa1\xfbw',ABE1
Pumpe 8 Füllgewicht,Pumpe 8,Füllgewicht,b'}m\xf9\xce5v\x9bE\x8e\x04\x16\x92\x8f\x1c\x01\xab',ABE1
Pumpe 5 Füllvolumen,Pumpe 5,Füllvolumen,"b'\xb9\xa7\xc8\xdd\xb2\xd6\xc6I\xb16,P\x92\xb1\xf4\x94'",ABE1
Pumpe 5 Füllzeit,Pumpe 5,Füllzeit,"b""\xf0'\xe2iOws@\x89Ox\x90/Y]\xb7""",ABE1
Pumpe 5 Durchflusszähler,Pumpe 5,Durchflusszähler,b'\x0c\x86Ii>\r\xbdC\x9f\xd1\x85We8\x9c\x9d',ABE1
Pumpe 5 Drehzahl,Pumpe 5,Drehzahl,b'\x8c\xd5\x8bd\xedD\xe6M\x89Y)\xa4\xbf\x9e\\\xb9',ABE1
Pumpe 5 Umrechnungsfaktor Volumen,Pumpe 5,Umrechnungsfaktor Volumen,b'\x9fr\xfc\xbc\xf6c\xdfM\xab\xaf\xeb\xcb\xa36\xce^',ABE1
Pumpe 5 Dichte,Pumpe 5,Dichte,b'\xa3`\x88!;\xcf|J\xa5\xc3\x14j\xa31\xf2\xd2',ABE1
Pumpe 5 Füllgewicht,Pumpe 5,Füllgewicht,b'\x0b.\xa4\xe5\x90\x0e\xefO\xa3\x9a\x05\x90\xc25\xa5\xc4',ABE1
Pumpe 5 Füllvolumen,Pumpe 5,Füllvolumen,b'\x1d\x9a\xcbQ5\x0e\xf2M\x82|\x19J\x95\x0c\x00\xbe',ABE2
Pumpe 5 Füllzeit,Pumpe 5,Füllzeit,b'RP0\x07\x08\x97\xb3L\x8eY~\x13\xc1\xf52\xe0',ABE2
Pumpe 5 Durchflusszähler,Pumpe 5,Durchflusszähler,b'\xb5\x99*\xc8\x10 \xe3M\xb2\x97\xd5\xd4\xad\xfb\xe9\x17',ABE2
Pumpe 5 Drehzahl,Pumpe 5,Drehzahl,b'\x02\xcbg\x84]A\xc5@\x9e]9\n\xd1\xce\x92]',ABE2
Pumpe 5 Umrechnungsfaktor Volumen,Pumpe 5,Umrechnungsfaktor Volumen,b'\xd6-c\xe9 \xba.F\x9d\xd4pL\x9a\xf3\xed\xab',ABE2
Pumpe 5 Dichte,Pumpe 5,Dichte,b'y\x10\xddb\x08\x7f\x1fG\x88<D\xc1\n\xf6\x84?',ABE2
Pumpe 5 Füllgewicht,Pumpe 5,Füllgewicht,b'tj\x07\x00\xf8_\xa0M\xa51\xc8\xd9v\x14\xe9\xe6',ABE2
Pumpe 6 Drehzahl,Pumpe 6,Drehzahl,b'\x90\xe63\x92\x10\xc0\xf1M\xa7\x18\x05\x8c\xcc\x81\xa2\xac',ABE2
Pumpe 6 Umrechnungsfaktor Volumen,Pumpe 6,Umrechnungsfaktor Volumen,"b""\xdb\xa2\x04c9\x8cZK\xa4\xc6\n\xb3'\xb0\xfe\xf1""",ABE2
Pumpe 6 Dichte,Pumpe 6,Dichte,"b'\xcbVQ\xf3J\x17xI\xa8[\xc45\x81,\xd1\xa8'",ABE2
Pumpe 6 Füllvolumen,Pumpe 6,Füllvolumen,b'vi\x9c[7s\xfcE\x8c-\x05\x1c\xc8Dt6',ABE2
Pumpe 6 Füllzeit,Pumpe 6,Füllzeit,b'0X2\x85\x1bX F\xaf\xa4o\xe6\xbb\xc0\x05\xb0',ABE2
Pumpe 6 Durchflusszähler,Pumpe 6,Durchflusszähler,b'\xb8\x92\x00P9A\xf1C\xb5\xcf\xd4\xcd>\x88\xf0\x0e',ABE2
Pumpe 6 Füllgewicht,Pumpe 6,Füllgewicht,b'M@xb\x9e\x8b\xd9L\x8b8\x9cu\x82\xd0\x06\xe3',ABE2
Pumpe 6 Füllvolumen,Pumpe 6,Füllvolumen,b'\xf4:\xfc*&\xcavH\xac\xa2\xfdF\\\xec%\xd6',ABE1
Pumpe 6 Füllzeit,Pumpe 6,Füllzeit,b'\x059\xa3[\xea\x90\x90O\x8clt?\xbf\x1c\xe4\xa8',ABE1
Pumpe 6 Durchflusszähler,Pumpe 6,Durchflusszähler,b'\xb2\xf8\x97\xa5k\x14\r@\xbd\xea\x11\x97r^a\x1d',ABE1
Pumpe 6 Drehzahl,Pumpe 6,Drehzahl,b'\xe90\x94\xcei\x0e!I\x94K\x95\x8d\xcc\x88*\xfb',ABE1
Pumpe 6 Umrechnungsfaktor Volumen,Pumpe 6,Umrechnungsfaktor Volumen,b'\xd4w\xc3S!\x84\x86E\xac\xe4D\x95\xf0\x1b\xef`',ABE1
Pumpe 6 Dichte,Pumpe 6,Dichte,b'\x1d\xa8e\x13\x7f\xe1\xac@\xaa\n\xd3$$\xa8\x0e<',ABE1
Pumpe 6 Füllgewicht,Pumpe 6,Füllgewicht,b'\xe6\xc8\x15\x81J\x99QH\xa24+Wk\x1b\x0b\x1d',ABE1
Pumpe 3 Füllvolumen,Pumpe 3,Füllvolumen,b'\x1da\xc2S`{\xacB\x82\n\xdc\xb5\xe9c\xd9B',ABE2
Pumpe 3 Füllzeit,Pumpe 3,Füllzeit,b'\xaa\xc3gA\xd0\xd6\xe8F\xadk\x0f\x9e\xbb\x94\x16n',ABE2
Pumpe 3 Durchflusszähler,Pumpe 3,Durchflusszähler,b'\x94\xda\x8b\xa2\xc3 GD\xbe:\x13\xc1#\x8f<H',ABE2
Pumpe 3 Drehzahl,Pumpe 3,Drehzahl,b'\x91\xbe\xe2\x9c\x90%TM\x9dd\xa4\xffI\n\xbaM',ABE2
Pumpe 3 Umrechnungsfaktor Volumen,Pumpe 3,Umrechnungsfaktor Volumen,b'\x82^\xfe]\xe8\x13BJ\x8c\x11\xbe\xb1\x89\\|#',ABE2
Pumpe 3 Dichte,Pumpe 3,Dichte,"b'\x8dF\x8d\xfd\x95W\xecD\xa0%_""\xf8\x0cx\x9e'",ABE2
Pumpe 3 Füllgewicht,Pumpe 3,Füllgewicht,b'\x15$\xc3\x8e\x17\x11.O\x9a#\xdb\x12\xb8B\xe9\x7f',ABE2
Pumpe 3 Füllvolumen,Pumpe 3,Füllvolumen,b'\x0eD79-\xeehK\x85A\x0c=b!r;',ABE1
Pumpe 3 Füllzeit,Pumpe 3,Füllzeit,b'cT\xc4\x94\xd4h\x7fI\xa3y\xc4\x04\x0c\x91\xd6\x96',ABE1
Pumpe 3 Durchflusszähler,Pumpe 3,Durchflusszähler,b']\xd5\xf7\xd2K\xae\x14@\x958\xbasZh1\xa9',ABE1
Pumpe 3 Drehzahl,Pumpe 3,Drehzahl,b'\xc6T \xe9\xdc+#D\x93\\\x8e(6\x8c\x85\xca',ABE1
Pumpe 3 Umrechnungsfaktor Volumen,Pumpe 3,Umrechnungsfaktor Volumen,b'z`\xe1\xa0\xaaOJF\x94\xcc\xd7\xb0\xd9F\xbb:',ABE1
Pumpe 3 Dichte,Pumpe 3,Dichte,b'\x07\x12\xb6\xb7\xb3G\xe9J\xb7\xba\x9b\x1d2\x0e\x0b-',ABE1
Pumpe 3 Füllgewicht,Pumpe 3,Füllgewicht,b'\xf0\xf98\xe1|\x05\xc0K\x91\xc5\xc6\xf3d\xd3A\xda',ABE1
Pumpe 2 Füllvolumen,Pumpe 2,Füllvolumen,b'\x91h\xb2\x9a\xd7\xdc\xfbL\xabk$\x054\x84\xacR',ABE2
Pumpe 2 Füllzeit,Pumpe 2,Füllzeit,b'9c\xcat\x93\x9b5D\x949\xa3o+7\x84\x8c',ABE2
Pumpe 2 Durchflusszähler,Pumpe 2,Durchflusszähler,b'8\xc6\xd8\xcd\xe4ZcB\xbf\x1d\xdb\xf2\xb3 n\x08',ABE2
Pumpe 2 Drehzahl,Pumpe 2,Drehzahl,b'\xc5\x91z\xed\xbd\xfc7K\xa6\xf3w6\x7fDp\xc4',ABE2
Pumpe 2 Umrechnungsfaktor Volumen,Pumpe 2,Umrechnungsfaktor Volumen,"b""\xfc\x9b\x93\x83\xe6\xaa\x8fM\xbc\xe4;\x91\xe84\xb2'""",ABE2
Pumpe 2 Dichte,Pumpe 2,Dichte,b'\x85\n\xef\x93\xe2\xd6\x8eD\x9e\xa2n\xf6\xc2\x02#~',ABE2
Pumpe 2 Füllgewicht,Pumpe 2,Füllgewicht,b'\x8d\x9e\xa6\x9do;\x7fF\x97B\xba\x8dj8\xd0\xb5',ABE2
Pumpe 2 Füllvolumen,Pumpe 2,Füllvolumen,b'\xcd\x1e\xaeY\x86\xc9\xfdJ\xa1\xd7!\xc0\xeb\xe7\x06\x86',ABE1
Pumpe 2 Füllzeit,Pumpe 2,Füllzeit,"b'\x0b!\x8bb\xdc\xd1,B\xb5\x8cf\xefI\x07\x00\xe0'",ABE1
Pumpe 2 Durchflusszähler,Pumpe 2,Durchflusszähler,b'\xa4\xf3\xa1%\x87\xcd @\xb1\xa5\xffE\x9c&n\xcf',ABE1
Pumpe 2 Drehzahl,Pumpe 2,Drehzahl,"b'\xe9\t\xd6\\\x8do|K\xbc\x17\x90,Q\xd9L\x1d'",ABE1
Pumpe 2 Umrechnungsfaktor Volumen,Pumpe 2,Umrechnungsfaktor Volumen,b'\xee]@\xb5c\x13\xbcO\x95\x97\xbfU\x9c\xba5\xb0',ABE1
Pumpe 2 Dichte,Pumpe 2,Dichte,b'\x91\x03\x19\x04\x1aa\xc1K\xb8\xe4\x9be\xc3M/)',ABE1
Pumpe 2 Füllgewicht,Pumpe 2,Füllgewicht,b'@\xd1\xaf\x11g\xaa\xbbE\x99\x9a%\x123\xbdT\xb1',ABE1
Pumpe 4 Kalibrierlauf Füllvolumen,Pumpe 4 Kalibrierlauf,Füllvolumen,b'\xd5\xd63~`\x02\x93L\x9c\x82i\xaf#\xe4\t\xb0',ABE2
Pumpe 4 Kalibrierlauf Durchflusszähler,Pumpe 4 Kalibrierlauf,Durchflusszähler,"b'""\x0f?\x93\xc9\x08\x86E\x8b\xa8\x1d\xfa\xa1,tg'",ABE2
Pumpe 4 Kalibrierlauf Füllzeit,Pumpe 4 Kalibrierlauf,Füllzeit,b'+\xb9#C8\x16wL\x9fFD\xa8\x97\xa8\xe39',ABE2
Pumpe 4 Kalibrierlauf Drehzahl,Pumpe 4 Kalibrierlauf,Drehzahl,b'\x81\x80\xbb\xfb\x07l\xad@\xa4dq\x82\xe2]\xc9\x19',ABE2
Pumpe 4 Kalibrierlauf Dichte,Pumpe 4 Kalibrierlauf,Dichte,b'\xbc4\xbe\x18\x8crdD\x98\xd4\xda\x08\xe53$\x16',ABE2
Pumpe 4 Kalibrierlauf Füllgewicht,Pumpe 4 Kalibrierlauf,Füllgewicht,b'z\x7f|gM3:B\xa8\xdau4\x94\x0f\xda`',ABE2
Pumpe 4 Kalibrierlauf Füllvolumen,Pumpe 4 Kalibrierlauf,Füllvolumen,b'\x06gcv\xc4\xa7\xf1K\x87\n3qT\xac+B',ABE1
Pumpe 4 Kalibrierlauf Durchflusszähler,Pumpe 4 Kalibrierlauf,Durchflusszähler,b'\xea\x8c\xfe?\x15\x0bdN\xb2\x0c\xe2\xc08\xd4^\xdb',ABE1
Pumpe 4 Kalibrierlauf Füllzeit,Pumpe 4 Kalibrierlauf,Füllzeit,b'@\xe1\xae\xf2<\x8b|E\xbb\xfbo\xefGE^\xdd',ABE1
Pumpe 4 Kalibrierlauf Drehzahl,Pumpe 4 Kalibrierlauf,Drehzahl,b'\xfbe\xa7\x84\xc7\xb8\xaaA\x8as]v\xaar\x8be',ABE1
Pumpe 4 Kalibrierlauf Dichte,Pumpe 4 Kalibrierlauf,Dichte,b'\xcdP\xe5Ks\xdf\xd2M\x9b\xe1j\x9ehO\xe9\xd4',ABE1
Pumpe 4 Kalibrierlauf Füllgewicht,Pumpe 4 Kalibrierlauf,Füllgewicht,b'~\xb5\xc8\x10\\\xad\xeeO\x91\x07\xc8\x08\xcex\x88p',ABE1
Pumpe 4 Füllvolumen,Pumpe 4,Füllvolumen,b'2\xf4|\xc8\x1f\x1a\xa0B\x87\xfe\xd7)Z\xf5\xa2\xc3',ABE2
Pumpe 4 Füllzeit,Pumpe 4,Füllzeit,b'[\x07\xb2V\x123\xedO\xbe\x91\xc8_\xab\xe5\r\x00',ABE2
Pumpe 4 Durchflusszähler,Pumpe 4,Durchflusszähler,"b'\xa4,A\xee\xee\x9c;E\xa8%y\x9bo\xa1C\x01'",ABE2
Pumpe 4 Drehzahl,Pumpe 4,Drehzahl,b'\xed\x96F\x99\xd9O\xceG\x84wu\x8e\xe8uWZ',ABE2
Pumpe 4 Umrechnungsfaktor Volumen,Pumpe 4,Umrechnungsfaktor Volumen,b'\xd1\xaaW2\x833\x85C\x872p\x13x7n\xc0',ABE2
Pumpe 4 Dichte,Pumpe 4,Dichte,b'\xf9;\xd4\xf5\xdfb\xd5J\x83W\xbc\x95\xff\x1e\xd9[',ABE2
Pumpe 4 Füllgewicht,Pumpe 4,Füllgewicht,b'.\xe1X)x\xe0\xd1G\xa1\xaa\xc0\xd85z\xb3\x0f',ABE2
Pumpe 4 Füllvolumen,Pumpe 4,Füllvolumen,b'\xf2\x864c\xa8\x7f\x0cG\xaf<\x9e\xcb\xef[\x1av',ABE1
Pumpe 4 Füllzeit,Pumpe 4,Füllzeit,"b""FGf\xf0\x07\xc4`L\x97'\xb4\xe0\xa4b\xde\xe5""",ABE1
Pumpe 4 Durchflusszähler,Pumpe 4,Durchflusszähler,"b'm\xba\x12xN\xd0\xc5E\x94b\xef""\x97\x10e\xb5'",ABE1
Pumpe 4 Drehzahl,Pumpe 4,Drehzahl,b'\x8f\xcc\xb0\xf3\xf6\xd8eM\x85&m\x8d\x98\xab\xf7\xe7',ABE1
Pumpe 4 Umrechnungsfaktor Volumen,Pumpe 4,Umrechnungsfaktor Volumen,b'\x89\xa4\x82\xa5\xc8\x97\xafI\x9eN\x03W\xb8\xd0I\xc7',ABE1
Pumpe 4 Dichte,Pumpe 4,Dichte,b'K\x91\xfc\x83\x8bG)F\x8cr\xd4\xb3\xb2\x88%H',ABE1
Pumpe 4 Füllgewicht,Pumpe 4,Füllgewicht,"b'\xd9H\xdf\x90\xfa,\xb3F\xbd\x13r\xedxkm\x8d'",ABE1
Auftrag Los,Auftrag,Los,b'\xdd\xb8-\x92\xf6p[N\x9d\x97-\x18\x1ch\x7fN',AUFTRAG
Auftrag Type,Auftrag,Type,b'm\xbb\xe2\xed/\xf5\xbcD\xaaj\x05lU\x11\x7f\xfe',AUFTRAG
Auftrag Ziel,Auftrag,Ziel,b'\xe1\x04j\x18$\x17\rL\x8a\xff\x05\x10\x14\x04\xdd\x9f',AUFTRAG
Auftrag Auftragart,Auftrag,Auftragart,b'\xd6#I\x1c\x86w\x1dN\x81?d`\x0e\xc0\x1d7',AUFTRAG
Auftrag Produziert,Auftrag,Produziert,b'X\x07\xbd\xa7\x8a\xd3dJ\x8e\xddC\x16\xf5\x97\x15\x8b',AUFTRAG
Auftrag Produziert OK,Auftrag,Produziert OK,b'\xad\\\x83@\xbb\x99\x19D\xa0{\x14\xd82\x17.\xbb',AUFTRAG
Auftrag Produziert NOK,Auftrag,Produziert NOK,b'VI\x17\x80\xfc\xdc\x8fG\x9c\x87>\xb9C\xd4\xea\x0f',AUFTRAG
